Model_description,Model_class,Data_prefix,Data_suffix,LLGP,Train_score,Train_LCB,Train_UCB,Test_score,Test_LCB,Test_UCB,Hyperparams,Time_elapsed,AUCE
varbayes_reg,high,autoencoder,concat,N/A,0.705,0.7,0.711,0.697,0.686,0.709,N/A,0,0.277
varbayes_reg,high,onehot,concat,N/A,0.73,0.724,0.736,0.722,0.709,0.734,N/A,0,0.282
varbayes_reg,high,onehotESM,concat,N/A,0.489,0.483,0.495,0.483,0.47,0.495,N/A,0,0.295
varbayes_reg,high,pfa,concat,N/A,0.725,0.72,0.731,0.719,0.708,0.73,N/A,0,0.316
Bytenet_CNN,high,autoencoder,x,False,0.857,0.853,0.86,0.775,0.764,0.787,N/A,22057.514214277267,1
Bytenet_CNN,high,onehot,x,False,0.844,0.84,0.848,0.767,0.756,0.778,N/A,21642.628794193268,1
Bytenet_CNN,high,pfa,x,False,0.869,0.866,0.873,0.775,0.764,0.786,N/A,20832.09570288658,1
xGPR_MiniARD,high,autoencoderconv,concat,N/A,0.783,0.779,0.788,0.73,0.719,0.741,-1.7317454394873966_-5.318235929925999_-4.1797309424858975,5409.343429803848,0.075
xGPR_MiniARD,high,onehotconv,concat,N/A,0.826,0.822,0.829,0.759,0.749,0.769,-0.0013724041504920594_-3.5644126725221135_-5.694021967670745,4037.115822315216,0.306
xGPR_MiniARD,high,onehotconvESM,concat,N/A,0.827,0.824,0.831,0.759,0.749,0.769,-0.008842349774358466_-3.5518944217716992_-2.4786151928434865,3263.239926338196,0.305
xGPR_MiniARD,high,pfaconv,concat,N/A,0.824,0.821,0.828,0.764,0.754,0.773,-0.113011728957809_-3.3079603274846234_-6.671180211358509,3994.1247792243958,0.291
xGPR_Linear,high,autoencoder,concat,N/A,0.579,0.573,0.586,0.577,0.563,0.589,-0.39539340000000006,36.95018148422241,0.162
xGPR_MiniARD,high,autoencoder,concat,N/A,0.813,0.809,0.816,0.743,0.733,0.753,-0.3679732637876412_-1.6362680981410436_-3.654747870809775,3209.109926700592,0.234
xGPR_Linear,high,onehotESM,concat,N/A,0.601,0.595,0.608,0.596,0.583,0.609,1.0001126999999999,82.04828929901123,0.396
xGPR_MiniARD,high,onehotESM,concat,N/A,0.832,0.829,0.835,0.763,0.754,0.772,-0.385583079390388_-0.9490004644113377_-2.1082981198097093,3741.704478740692,0.239
xGPR_Linear,high,onehot,concat,N/A,0.601,0.595,0.608,0.596,0.583,0.609,1.0001126999999999,93.04434084892273,0.396
xGPR_MiniARD,high,onehot,concat,N/A,0.836,0.833,0.839,0.765,0.756,0.774,-0.3793657167083333_-0.9144048198188981_-3.424119780540444,3713.2113223075867,0.241
xGPR_Linear,high,pfa,concat,N/A,0.601,0.595,0.607,0.596,0.583,0.609,0.8140452,57.896217823028564,0.376
xGPR_MiniARD,high,pfa,concat,N/A,0.837,0.834,0.84,0.766,0.756,0.774,-0.08497465945905065_-0.3764143203271304_-3.0460954990836226,1825.2558379173279,0.293
Bytenet_CNN,high,autoencoder,x,True,0.851,0.848,0.855,0.765,0.754,0.775,N/A,55692.74094080925,0.32
Bytenet_CNN,high,onehot,x,True,0.857,0.854,0.86,0.747,0.737,0.757,N/A,57870.463292598724,0.308
Bytenet_CNN,high,pfa,x,True,0.868,0.864,0.871,0.762,0.751,0.773,N/A,54814.21698307991,0.33
